0,0,0
1,0,0
3,0,0
2,0,0
0,0,100
2,0,100
3,0,100
1,0,100
2,0,200
0,0,200
1,0,200
3,0,200
2,0,300
0,1,300
1,0,300
3,0,300
2,0,400
0,1,400
1,0,400
3,0,400
2,0,500
0,1,500
1,0,500
3,0,500
2,0,600
0,1,600
1,0,600
3,0,600
2,0,700
0,1,700
1,0,700
3,1,700
0,1,800
2,0,800
1,0,800
3,1,800
0,1,900
2,0,900
1,0,900
3,1,900
0,1,1000
2,0,1000
1,0,1000
3,1,1000
0,1,1100
2,0,1100
1,0,1100
3,1,1100
0,1,1200
2,0,1200
1,0,1200
3,1,1200
0,1,1300
2,0,1300
1,0,1300
3,1,1300
0,1,1400
2,0,1400
1,0,1400
3,1,1400
0,1,1500
2,0,1500
1,0,1500
3,1,1500
0,1,1600
2,0,1600
1,0,1600
3,1,1600
0,1,1700
2,0,1700
1,0,1700
3,1,1700
0,1,1800
2,0,1800
1,0,1800
3,2,1800
0,1,1900
2,0,1900
1,0,1900
3,2,1900
0,1,2000
2,0,2000
1,0,2000
3,2,2000
0,1,2100
2,0,2100
1,0,2100
3,2,2100
0,1,2200
2,0,2200
1,0,2200
3,2,2200
0,1,2300
2,0,2300
1,0,2300
3,2,2300
0,1,2400
2,0,2400
1,0,2400
3,2,2400
0,1,2500
2,0,2500
1,0,2500
3,2,2500
0,1,2600
2,0,2600
1,0,2600
3,2,2600
0,1,2700
2,0,2700
1,0,2700
3,2,2700
0,1,2800
2,0,2800
1,0,2800
3,2,2800
0,2,2900
2,0,2900
1,0,2900
3,2,2900
0,2,3000
2,0,3000
1,0,3000
3,2,3000
