1,0,0
0,0,0
2,0,0
3,0,0
1,10,100
3,6,100
2,10,100
0,7,100
1,23,200
2,13,200
0,20,200
3,12,200
1,35,300
0,34,300
3,25,300
2,20,300
1,40,400
0,45,400
3,36,400
2,28,400
0,53,500
1,48,500
3,47,500
2,37,500
0,56,600
1,51,600
3,53,600
2,45,600
0,64,700
1,55,700
3,62,700
2,51,700
0,71,800
1,62,800
3,72,800
2,58,800
0,77,900
1,67,900
3,82,900
2,63,900
0,81,1000
1,79,1000
3,87,1000
2,72,1000
0,88,1100
1,87,1100
3,94,1100
2,83,1100
0,95,1200
1,97,1200
3,98,1200
2,94,1200
1,103,1300
0,97,1300
2,105,1300
3,104,1300
0,104,1400
1,107,1400
3,115,1400
2,111,1400
0,112,1500
1,116,1500
2,117,1500
3,127,1500
1,123,1600
0,119,1600
2,125,1600
3,138,1600
1,135,1700
0,132,1700
2,133,1700
3,146,1700
1,138,1800
0,141,1800
2,142,1800
3,154,1800
1,148,1900
0,156,1900
2,146,1900
3,164,1900
1,155,2000
0,166,2000
2,155,2000
3,169,2000
1,168,2100
0,174,2100
2,164,2100
3,178,2100
1,173,2200
0,184,2200
2,170,2200
3,180,2200
1,183,2300
0,193,2300
2,180,2300
3,190,2300
1,191,2400
0,208,2400
2,190,2400
3,200,2400
