$ py main_bsc.py ber
93 / 600 回目,  1 1, FSCL: 0.12168 SCL 3.54052
94 / 600 回目,  0 0, FSCL: 0.11871 SCL 3.44376
95 / 600 回目,  0 0, FSCL: 0.13464 SCL 3.33808
96 / 600 回目,  0 0, FSCL: 0.13566 SCL 3.34901
97 / 600 回目,  0 0, FSCL: 0.12767 SCL 3.83373
98 / 600 回目,  0 0, FSCL: 0.11671 SCL 3.39489
99 / 600 回目,  0 0, FSCL: 0.11868 SCL 3.33709
100 / 600 回目,  0 0, FSCL: 0.12170 SCL 3.33009
101 / 600 回目,  0 0, FSCL: 0.11968 SCL 3.27124
102 / 600 回目,  0 0, FSCL: 0.13067 SCL 3.35702
103 / 600 回目,  0 0, FSCL: 0.12469 SCL 3.29019
104 / 600 回目,  0 0, FSCL: 0.11670 SCL 3.32808
105 / 600 回目,  0 0, FSCL: 0.12565 SCL 3.31711
106 / 600 回目,  0 0, FSCL: 0.12267 SCL 3.28723
107 / 600 回目,  0 0, FSCL: 0.13165 SCL 3.21542
108 / 600 回目,  1 1, FSCL: 0.12170 SCL 3.30316
109 / 600 回目,  0 0, FSCL: 0.11671 SCL 3.17747
110 / 600 回目,  0 0, FSCL: 0.11073 SCL 3.32311
111 / 600 回目,  0 0, FSCL: 0.12065 SCL 3.29817
112 / 600 回目,  0 0, FSCL: 0.11968 SCL 3.26629
113 / 600 回目,  0 0, FSCL: 0.11569 SCL 3.35602
114 / 600 回目,  0 0, FSCL: 0.11867 SCL 3.42882
115 / 600 回目,  1 1, FSCL: 0.11771 SCL 3.32909
116 / 600 回目,  0 0, FSCL: 0.12167 SCL 3.29418
117 / 600 回目,  0 0, FSCL: 0.17154 SCL 3.19647
118 / 600 回目,  0 0, FSCL: 0.11868 SCL 3.36497
119 / 600 回目,  0 0, FSCL: 0.13367 SCL 3.46273
120 / 600 回目,  0 0, FSCL: 0.12267 SCL 3.37594
121 / 600 回目,  0 0, FSCL: 0.11671 SCL 3.34003
122 / 600 回目,  0 0, FSCL: 0.11767 SCL 3.24930
123 / 600 回目,  0 0, FSCL: 0.12965 SCL 3.31812
124 / 600 回目,  0 0, FSCL: 0.11472 SCL 3.19742
125 / 600 回目,  0 0, FSCL: 0.11472 SCL 3.19043
126 / 600 回目,  0 0, FSCL: 0.11370 SCL 3.29418
127 / 600 回目,  1 1, FSCL: 0.11669 SCL 3.27127
128 / 600 回目,  0 0, FSCL: 0.11666 SCL 3.48866
129 / 600 回目,  0 0, FSCL: 0.11070 SCL 3.36499
130 / 600 回目,  0 0, FSCL: 0.12966 SCL 3.32812
131 / 600 回目,  0 0, FSCL: 0.21841 SCL 3.43182
132 / 600 回目,  0 0, FSCL: 0.14262 SCL 3.35103
133 / 600 回目,  0 0, FSCL: 0.11871 SCL 3.29719
134 / 600 回目,  0 0, FSCL: 0.12467 SCL 3.33507
135 / 600 回目,  0 0, FSCL: 0.11772 SCL 3.31409
136 / 600 回目,  0 0, FSCL: 0.13068 SCL 3.34307
137 / 600 回目,  0 0, FSCL: 0.11968 SCL 3.28225
138 / 600 回目,  0 0, FSCL: 0.12068 SCL 3.39294
139 / 600 回目,  0 0, FSCL: 0.13367 SCL 3.27523
140 / 600 回目,  0 0, FSCL: 0.11372 SCL 3.31413
141 / 600 回目,  0 0, FSCL: 0.12171 SCL 3.17846
142 / 600 回目,  0 0, FSCL: 0.11272 SCL 3.35303
143 / 600 回目,  0 0, FSCL: 0.12470 SCL 3.44275
144 / 600 回目,  0 0, FSCL: 0.11472 SCL 3.91451
145 / 600 回目,  0 0, FSCL: 0.13664 SCL 3.47373
146 / 600 回目,  0 0, FSCL: 0.12466 SCL 3.27623
147 / 600 回目,  0 0, FSCL: 0.11373 SCL 3.32207
148 / 600 回目,  0 0, FSCL: 0.12965 SCL 3.37200
149 / 600 回目,  0 0, FSCL: 0.12466 SCL 3.32612
150 / 600 回目,  0 0, FSCL: 0.21742 SCL 3.40691
151 / 600 回目,  0 0, FSCL: 0.11367 SCL 3.37596
152 / 600 回目,  0 0, FSCL: 0.12367 SCL 3.31213
153 / 600 回目,  0 0, FSCL: 0.11671 SCL 3.29715
154 / 600 回目,  0 0, FSCL: 0.12470 SCL 3.42978
155 / 600 回目,  0 0, FSCL: 0.11370 SCL 3.24132
156 / 600 回目,  0 0, FSCL: 0.11768 SCL 3.28125
157 / 600 回目,  1 1, FSCL: 0.12068 SCL 3.40890
158 / 600 回目,  0 0, FSCL: 0.11270 SCL 3.21838
159 / 600 回目,  1 1, FSCL: 0.11771 SCL 3.35799
160 / 600 回目,  0 0, FSCL: 0.12270 SCL 3.32508
161 / 600 回目,  0 0, FSCL: 0.12369 SCL 3.31112
162 / 600 回目,  0 0, FSCL: 0.12569 SCL 3.47370
163 / 600 回目,  0 0, FSCL: 0.11273 SCL 3.29116
164 / 600 回目,  0 0, FSCL: 0.11370 SCL 3.31515
